[rosmaster.main][INFO] 2020-05-12 21:20:13,117: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-05-12 21:20:13,117: Starting ROS Master Node
[xmlrpc][INFO] 2020-05-12 21:20:13,119: XML-RPC server binding to :::11311
[xmlrpc][INFO] 2020-05-12 21:20:13,119: binding ipv6 xmlrpc socket to('::', 11311)
[xmlrpc][INFO] 2020-05-12 21:20:13,120: bound to ('::', 11311)
[rosmaster.master][INFO] 2020-05-12 21:20:13,120: Master initialized: port[11311], uri[http://rosdscomputer:11311/]
[xmlrpc][INFO] 2020-05-12 21:20:13,120: Started XML-RPC server [http://rosdscomputer:11311/]
[xmlrpc][INFO] 2020-05-12 21:20:13,120: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-05-12 21:20:13,182: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-05-12 21:20:13,183: +PARAM [/roslaunch/uris/host_rosdscomputer__39681] by /roslaunch
[rosmaster.master][INFO] 2020-05-12 21:20:14,947: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-05-12 21:20:14,948: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-05-12 21:20:14,948: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-05-12 21:20:14,958: +SERVICE [/rosout/get_loggers] /rosout http://rosdscomputer:34005/
[rosmaster.master][INFO] 2020-05-12 21:20:14,958: +SERVICE [/rosout/set_logger_level] /rosout http://rosdscomputer:34005/
[rosmaster.master][INFO] 2020-05-12 21:20:14,963: +SUB [/clock] /rosout http://rosdscomputer:34005/
[rosmaster.master][INFO] 2020-05-12 21:20:14,976: +PUB [/rosout_agg] /rosout http://rosdscomputer:34005/
[rosmaster.master][INFO] 2020-05-12 21:20:14,984: +SUB [/rosout] /rosout http://rosdscomputer:34005/
[rosmaster.master][INFO] 2020-05-12 21:20:17,836: +PUB [/rosout] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:17,837: +SERVICE [/gazebo/get_loggers] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:17,838: +SERVICE [/gazebo/set_logger_level] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:17,846: publisherUpdate[/rosout] -> http://rosdscomputer:34005/ ['http://rosdscomputer:38065/']
[rosmaster.master][INFO] 2020-05-12 21:20:17,848: publisherUpdate[/rosout] -> http://rosdscomputer:34005/ ['http://rosdscomputer:38065/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-05-12 21:20:17,851: +SUB [/clock] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,121: +PUB [/clock] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,122: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,123: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,128: +SERVICE [/gazebo/delete_model] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,138: +SERVICE [/gazebo/delete_light] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,142: +SERVICE [/gazebo/get_model_properties] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,142: +SERVICE [/gazebo/get_model_state] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,144: +SERVICE [/gazebo/get_world_properties] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,146: +SERVICE [/gazebo/get_joint_properties] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,147: +SERVICE [/gazebo/get_link_properties] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,148: +SERVICE [/gazebo/get_link_state] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,152: +SERVICE [/gazebo/get_light_properties] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,153: +SERVICE [/gazebo/set_light_properties] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,155: +SERVICE [/gazebo/get_physics_properties] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,157: +PUB [/gazebo/link_states] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,158: +PUB [/gazebo/model_states] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,160: publisherUpdate[/clock] -> http://rosdscomputer:34005/ ['http://rosdscomputer:38065/']
[rosmaster.master][INFO] 2020-05-12 21:20:19,160: publisherUpdate[/clock] -> http://rosdscomputer:38065/ ['http://rosdscomputer:38065/']
[rosmaster.master][INFO] 2020-05-12 21:20:19,161: publisherUpdate[/clock] -> http://rosdscomputer:34005/ ['http://rosdscomputer:38065/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-05-12 21:20:19,161: publisherUpdate[/clock] -> http://rosdscomputer:38065/ ['http://rosdscomputer:38065/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-05-12 21:20:19,163: +SERVICE [/gazebo/set_link_properties] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,168: +SERVICE [/gazebo/set_physics_properties] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,176: +SERVICE [/gazebo/set_model_state] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,179: +SERVICE [/gazebo/set_model_configuration] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,180: +SERVICE [/gazebo/set_joint_properties] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,183: +SERVICE [/gazebo/set_link_state] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,194: +SUB [/gazebo/set_link_state] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,220: +SUB [/gazebo/set_model_state] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,224: +SERVICE [/gazebo/pause_physics] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,225: +SERVICE [/gazebo/unpause_physics] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,230: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,230: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,232: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,234: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,239: +SERVICE [/gazebo/reset_simulation] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,244: +SERVICE [/gazebo/reset_world] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,313: +SERVICE [/gazebo/set_parameters] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,314: +PUB [/gazebo/parameter_descriptions] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,316: +PUB [/gazebo/parameter_updates] /gazebo http://rosdscomputer:38065/
[rosmaster.master][INFO] 2020-05-12 21:20:19,358: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,360: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,364: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,365: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,367: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,369: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,377: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,380: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,381: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,382: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,383: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,383: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,387: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,392: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,393: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,399: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,407: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,408: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,409: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,410: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,410: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,411: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,416: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,417: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,418: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,419: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,424: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,425: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,426: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2020-05-12 21:20:19,430: +PARAM [/gazebo/max_contacts] by /gazebo
